1AA4A817-2392-34F8-E585-750D42354359_time (s),1AA4A817-2392-34F8-E585-750D42354359_raw_resistance,1AA4A817-2392-34F8-E585-750D42354359_calibrated_angle
5.846,2043.478271484375,48112.34940389103
5.866,1455.53125,34194.61349289846
5.886,2357.050048828125,55535.14266031857
5.906,1367.1470947265625,32102.405714200573
5.926,1733.77783203125,40781.19749679444
5.946,2242.571533203125,52825.235662356965
5.966,2781.294189453125,65577.74462145744
5.986,2624.166748046875,61858.2628417198
6.006,2958.0625,69762.16017885323
6.026,1956.375,46050.462388216714
6.046,2043.478271484375,48112.34940389103
6.066,2043.478271484375,48112.34940389103
6.09,2357.050048828125,55535.14266031857
6.11,1956.375,46050.462388216714
6.131,2043.478271484375,48112.34940389103
6.151,1610.965576171875,37874.01626919219
6.171,1218.2894287109375,28578.68400420419
6.191,1956.375,46050.462388216714
6.214,12.727950096130371,40.93201174427497
6.235,12.432632446289062,33.941325661761084
6.255,12.213054656982422,28.743534752345624
6.275,11.922794342041016,21.87256464589467
6.295,11.850672721862793,20.16531956013978
6.315,11.63536548614502,15.068620134942591
6.335,11.350728034973145,8.330753063541067
6.355,11.70695972442627,16.763381167376224
6.375,11.42162799835205,10.00907939286816
6.395,11.42162799835205,10.00907939286816
6.415,11.209443092346191,4.986290981367006
6.435,11.139057159423828,3.32013265337838
6.455,10.928915977478027,-1.6542772296100452
6.475,10.859206199645996,-3.304429782183149
6.495,10.859206199645996,-3.304429782183149
6.515,10.582036018371582,-9.865533494623236
6.535,10.720288276672363,-6.592860362831971
6.557,10.651079177856445,-8.231160966049401
6.577,10.720288276672363,-6.592860362831971
6.597,10.720288276672363,-6.592860362831971
6.617,10.859206199645996,-3.304429782183149
6.637,10.789663314819336,-4.950631684970972
6.657,11.350728034973145,8.330753063541067
6.677,11.492700576782227,11.691491822830187
6.697,12.359259605407715,32.204461990187895
6.717,12.50618839263916,35.682523760527204
6.737,532.2891845703125,12339.856552164154
6.757,2043.478271484375,48112.34940389103
