C4B0890D-F795-5936-5F56-28B4BC3AA9C8_time (s),C4B0890D-F795-5936-5F56-28B4BC3AA9C8_raw_resistance
5.77,153.33749389648438
5.79,154.1757354736328
5.79,143.04347229003906
5.8,135.81748962402344
5.8,139.36045837402344
5.82,135.81748962402344
5.82,140.08560180664062
5.83,137.2183837890625
5.83,129.7683868408203
5.85,127.2065200805664
5.85,125.33333587646484
5.86,117.66095733642578
5.86,111.68316650390625
5.88,112.20861053466797
5.88,109.61563873291016
5.926,105.15505981445312
5.926,99.58841705322266
5.936,96.95509338378906
5.936,94.0
5.956,89.20680236816406
5.956,79.19685363769531
5.965,77.56217956542969
5.965,76.92010498046875
5.985,78.53785705566406
5.985,82.59838104248047
5.995,81.90348815917969
5.995,74.72405242919922
6.015,72.60447692871094
6.015,72.01237487792969
6.025,71.71852111816406
6.025,72.90274047851562
6.045,71.1351318359375
6.045,69.13768005371094
6.055,70.55745697021484
6.055,70.2707290649414
6.075,69.13768005371094
6.075,68.85783386230469
6.085,68.02631378173828
6.085,66.3985824584961
6.105,65.07691955566406
6.105,64.55684661865234
6.115,64.04157257080078
6.115,65.07691955566406
6.135,65.60187530517578
6.135,65.07691955566406
6.145,65.07691955566406
6.145,65.60187530517578
6.165,66.66666412353516
6.165,65.60187530517578
6.175,65.60187530517578
6.175,66.66666412353516
6.239,67.47856903076172
6.239,66.3985824584961
6.254,68.02631378173828
6.254,69.41888427734375
6.274,69.98540496826172
6.284,69.98540496826172
6.3,72.90274047851562
6.3,75.96930694580078
6.31,76.6015396118164
6.31,76.6015396118164
6.33,84.36885070800781
6.33,85.45454406738281
6.34,85.45454406738281
6.34,88.43943786621094
6.362,94.0
6.362,97.38739013671875
6.371,102.78504943847656
6.371,113.2699966430664
6.387,117.0989761352539
6.387,119.94791412353516
6.403,124.10675811767578
6.403,135.125
6.419,140.08560180664062
6.419,150.05328369140625
6.432,148.4512176513672
6.432,191.02474975585938
6.447,155.8734130859375
6.447,192.20895385742188
6.463,174.57142639160156
6.463,244.39999389648438
6.479,194.61306762695312
6.479,208.75
6.522,322.8538513183594
6.522,340.75
6.538,347.1065673828125
6.538,347.1065673828125
6.554,340.75
6.554,367.49139404296875
6.569,367.49139404296875
6.569,363.94873046875
6.589,360.4660949707031
6.598,374.7631530761719
6.614,367.49139404296875
6.614,350.3636474609375
6.634,347.1065673828125
6.644,334.5952453613281
6.66,337.64801025390625
6.672,343.9024353027344
6.672,343.9024353027344
6.688,378.4955749511719
6.688,390.1000061035156
6.704,386.16217041015625
6.704,382.2946472167969
6.715,378.4955749511719
6.716,378.4955749511719
6.735,334.5952453613281
6.735,340.75
6.753,367.49139404296875
6.753,367.49139404296875
6.763,197.0659942626953
6.763,207.39682006835938
6.783,301.4130554199219
6.783,296.4356994628906
6.822,176.63255310058594
6.823,169.58108520507812
6.838,161.14285278320312
6.838,159.35621643066406
6.85,154.1757354736328
6.851,150.86419677734375
6.87,150.86419677734375
6.87,150.05328369140625
6.88,148.4512176513672
6.88,146.0963897705078
6.9,141.55294799804688
6.9,140.81640625
6.91,136.51527404785156
6.91,137.9269256591797
6.93,139.36045837402344
6.93,140.08560180664062
6.94,129.7683868408203
6.94,130.42066955566406
6.96,129.7683868408203
6.96,130.42066955566406
6.97,125.33333587646484
6.97,127.83999633789062
6.99,120.52961730957031
6.99,121.70526123046875
7.0,118.79655456542969
7.0,119.3702392578125
7.02,108.0999984741211
7.02,110.64262390136719
7.03,115.98644256591797
7.03,114.88888549804688
7.067,107.60128784179688
7.077,107.60128784179688
7.125,107.10576629638672
7.135,106.61341857910156
7.155,101.85758209228516
7.165,102.31987762451172
7.185,103.72413635253906
7.195,102.78504943847656
7.215,99.58841705322266
7.225,100.48773193359375
7.245,86.18836212158203
7.275,86.55833435058594
7.285,77.56217956542969
7.305,77.56217956542969
7.315,76.6015396118164
7.335,76.6015396118164
7.345,77.24031066894531
7.365,76.92010498046875
7.375,81.90348815917969
7.423,81.90348815917969
7.439,75.65560913085938
7.451,75.03299713134766
7.467,73.80653381347656
7.51,73.20249938964844
7.53,71.71852111816406
7.54,71.1351318359375
7.56,70.2707290649414
7.57,69.98540496826172
7.59,71.42610931396484
7.6,71.42610931396484
7.62,70.84558868408203
7.63,70.84558868408203
7.65,69.70145416259766
7.66,69.41888427734375
7.68,68.85783386230469
7.722,68.85783386230469
7.738,68.57933044433594
7.754,68.85783386230469
7.769,68.85783386230469
7.789,68.57933044433594
7.789,68.85783386230469
7.815,68.85783386230469
7.825,67.75179290771484
7.845,67.47856903076172
7.855,67.20664978027344
7.875,67.47856903076172
7.885,66.3985824584961
7.905,66.3985824584961
7.915,64.81627655029297
7.935,64.55684661865234
7.945,64.55684661865234
7.965,65.07691955566406
8.023,64.04157257080078
8.039,64.04157257080078
8.052,65.07691955566406
8.068,64.81627655029297
8.08,64.29861450195312
8.1,64.55684661865234
8.11,63.78571319580078
8.13,63.78571319580078
8.14,64.55684661865234
8.16,64.81627655029297
8.17,64.81627655029297
8.202,64.81627655029297
8.218,64.55684661865234
8.238,64.29861450195312
8.248,64.55684661865234
8.268,64.81627655029297
8.278,65.33878326416016
8.325,65.33878326416016
8.335,66.13176727294922
8.355,66.66666412353516
8.365,67.75179290771484
8.384,68.02631378173828
8.404,67.20664978027344
8.404,66.3985824584961
8.43,68.02631378173828
8.44,68.30215454101562
8.46,69.41888427734375
8.47,68.85783386230469
8.49,69.41888427734375
8.5,69.13768005371094
8.52,72.60447692871094
8.53,73.5037612915039
8.55,73.80653381347656
8.56,73.5037612915039
8.58,74.72405242919922
8.622,74.72405242919922
8.638,78.86649322509766
8.651,79.52894592285156
8.665,81.21600341796875
8.685,82.25
8.695,85.45454406738281
8.715,85.45454406738281
8.725,84.72876739501953
8.761,85.09066009521484
8.807,88.82203674316406
8.815,89.59375
8.835,88.05899047851562
8.845,88.05899047851562
8.845,97.38739013671875
8.863,97.8222885131836
8.863,101.39814758300781
8.875,100.94153594970703
8.876,102.31987762451172
8.923,102.78504943847656
8.923,111.68316650390625
8.935,110.12744903564453
8.936,117.0989761352539
8.955,117.66095733642578
8.955,122.2992935180664
8.965,121.70526123046875
8.965,136.51527404785156
8.985,137.9269256591797
8.985,145.32400512695312
8.995,153.33749389648438
8.995,151.68182373046875
9.015,309.1555480957031
9.015,187.5414581298828
