92B24D2E-3966-09A9-9A5C-F8C5885B402C_time (s),92B24D2E-3966-09A9-9A5C-F8C5885B402C_raw_resistance,92B24D2E-3966-09A9-9A5C-F8C5885B402C_calibrated_angle
8.929,19.87204360961914,57.05409088317421
8.949,18.684425354003906,48.29053030027643
8.969,18.774282455444336,48.95359534542334
8.991,18.505449295043945,46.96984705196164
9.011,18.41632652282715,46.31220069973955
9.031,18.150405883789062,44.34994420912514
9.051,17.799190521240234,41.75828894213316
9.071,17.27941131591797,37.922783270142276
9.095,16.18134117126465,29.820007659004844
9.115,16.098424911499023,29.208159817892877
9.136,15.768929481506348,26.77677822799562
9.156,15.442856788635254,24.37065337693889
9.176,15.120155334472656,21.989405252491608
9.196,14.64230728149414,18.463313983771926
9.216,14.64230728149414,18.463313983771926
9.239,14.094027519226074,14.417499690925894
9.259,13.862025260925293,12.70553051533021
9.279,14.094027519226074,14.417499690925894
9.299,14.80077075958252,19.632632730632054
9.319,14.880309104919434,20.21955458428981
9.339,15.039999961853027,21.39793028932428
9.359,15.850980758666992,27.382243271077954
9.379,17.799190521240234,41.75828894213316
9.399,18.774282455444336,48.95359534542334
9.419,19.686546325683594,55.68528682678152
9.439,20.340335845947266,60.509668771235766
9.459,21.78540802001953,71.17300901905105
9.479,22.380952835083008,75.56759713014043
9.499,22.986900329589844,80.03894771191037
9.519,24.12574005126953,88.44256633932883
9.539,25.411144256591797,97.92769977643457
9.559,26.63093376159668,106.92865540754812
9.579,26.743865966796875,107.76199408127829
9.599,27.42879295349121,112.81614268027229
9.619,27.544185638427734,113.66763749393243
9.639,25.08545684814453,95.5244179798475
9.659,24.231111526489258,89.22011358772389
9.699,22.68260955810547,77.79355396007841
9.72,21.687143325805664,70.44790345854662
9.741,21.394025802612305,68.2849582863345
9.761,20.15223503112793,59.1216529853823
9.781,19.13617515563965,51.62403981499503
9.801,19.227272033691406,52.29625330274229
9.821,18.864383697509766,49.61846193003615
9.845,18.32744598388672,45.65634181245633
9.865,16.852590560913086,34.77322782432627
9.885,16.015727996826172,28.59793054739481
9.905,15.850980758666992,27.382243271077954
9.925,15.933245658874512,27.98928466119297
9.945,15.850980758666992,27.382243271077954
9.967,15.120155334472656,21.989405252491608
9.987,15.200517654418945,22.582407301846843
10.007,14.960051536560059,20.807982412344856
10.027,14.880309104919434,20.21955458428981
10.049,14.484654426574707,17.29997691091974
10.069,15.039999961853027,21.39793028932428
10.089,15.120155334472656,21.989405252491608
10.109,15.361867904663086,23.77302784543872
10.129,15.524057388305664,24.96984118094467
10.149,14.960051536560059,20.807982412344856
10.169,14.960051536560059,20.807982412344856
10.189,14.406129837036133,16.720535668403656
10.209,14.17175579071045,14.99106481838713
10.229,14.016497611999512,13.845398314280715
10.249,13.78508186340332,12.137757055761355
10.269,13.708333015441895,11.571419197954398
10.289,13.6317777633667,11.006509904645796
10.309,13.403265953063965,9.320297113601896
10.329,13.47924518585205,9.880955899733095
10.349,13.327478408813477,8.761052817441993
10.369,13.251879692077637,8.203201899462755
10.389,13.026217460632324,6.538016451872593
10.409,13.101249694824219,7.09168723530982
10.429,13.176470756530762,7.646751396927712
10.449,12.951371192932129,5.985717934825416
10.469,13.101249694824219,7.09168723530982
10.489,13.026217460632324,6.538016451872593
